id,domain_id,title,type,data,answer_type,answer_data,correct_answer
3901,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3901.jpg,point estimate,,115.0
3902,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3902.jpg,point estimate,,117.3
3903,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3903.jpg,point estimate,,519.0
3904,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3904.jpg,point estimate,,80.0
3905,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3905.jpg,point estimate,,360.0
3906,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3906.jpg,point estimate,,399.0
3907,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3907.jpg,point estimate,,2270.0
3908,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3908.jpg,point estimate,,219.0
3909,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3909.jpg,point estimate,,899.0
3910,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3910.jpg,point estimate,,157.0
3911,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3911.jpg,point estimate,,557.0
3912,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3912.jpg,point estimate,,250.0
3913,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3913.jpg,point estimate,,400.0
3914,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3914.jpg,point estimate,,144.0
3915,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3915.jpg,point estimate,,47.0
3916,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3916.jpg,point estimate,,899.0
3917,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3917.jpg,point estimate,,241.5
3918,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3918.jpg,point estimate,,75.0
3919,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3919.jpg,point estimate,,2370.0
3920,39,Guess the amazon price in USD for the following product:,image,http://crowds.5harad.com/assets/amazon_price3920.jpg,point estimate,,59.0
