id	task_id	user_id	data	created_at	updated_at	confidence	submitted_at
2772	350	120	50	2015-04-25 03:32:06	2015-04-25 03:32:29	2	2015-04-25 03:32:29
2773	349	120	200	2015-04-25 03:32:29	2015-04-25 03:32:43	2	2015-04-25 03:32:43
2774	342	120	50	2015-04-25 03:32:43	2015-04-25 03:32:54	2	2015-04-25 03:32:54
2775	344	120	200	2015-04-25 03:32:54	2015-04-25 03:33:13	2	2015-04-25 03:33:13
2776	345	120	150	2015-04-25 03:33:13	2015-04-25 03:33:27	2	2015-04-25 03:33:27
2777	341	120	100	2015-04-25 03:33:28	2015-04-25 03:33:45	2	2015-04-25 03:33:45
2778	343	120	100	2015-04-25 03:33:45	2015-04-25 03:34:00	2	2015-04-25 03:34:00
2779	346	120	80	2015-04-25 03:34:01	2015-04-25 03:34:08	2	2015-04-25 03:34:08
2780	348	120	300	2015-04-25 03:34:08	2015-04-25 03:34:21	2	2015-04-25 03:34:21
2781	347	120	150	2015-04-25 03:34:21	2015-04-25 03:34:31	2	2015-04-25 03:34:31
2782	360	120	50	2015-04-25 03:34:31	2015-04-25 03:34:44	2	2015-04-25 03:34:44
2783	351	120	200	2015-04-25 03:34:44	2015-04-25 03:34:55	2	2015-04-25 03:34:55
2784	356	120	150	2015-04-25 03:34:55	2015-04-25 03:35:04	2	2015-04-25 03:35:04
2785	357	120	300	2015-04-25 03:35:05	2015-04-25 03:35:14	2	2015-04-25 03:35:14
2786	359	120	200	2015-04-25 03:35:14	2015-04-25 03:35:24	2	2015-04-25 03:35:24
2787	353	120	150	2015-04-25 03:35:24	2015-04-25 03:35:34	2	2015-04-25 03:35:34
2788	354	120	200	2015-04-25 03:35:35	2015-04-25 03:35:44	2	2015-04-25 03:35:44
2789	355	120	250	2015-04-25 03:35:44	2015-04-25 03:35:57	2	2015-04-25 03:35:57
2790	358	120	400	2015-04-25 03:35:57	2015-04-25 03:36:06	2	2015-04-25 03:36:06
2791	352	120	400	2015-04-25 03:36:06	2015-04-25 03:36:20	2	2015-04-25 03:36:20
2792	168	120	Right	2015-04-25 03:45:25	2015-04-25 03:45:54	5	2015-04-25 03:45:54
2793	165	120	Left	2015-04-25 03:45:54	2015-04-25 03:46:24	5	2015-04-25 03:46:24
2794	161	120	Right	2015-04-25 03:46:25	2015-04-25 03:46:55	5	2015-04-25 03:46:55
2795	169	120	timeout	2015-04-25 03:46:55	2015-04-25 03:47:46	0	2015-04-25 03:46:55
2796	164	120	Middle	2015-04-25 03:47:46	2015-04-25 03:48:08	3	2015-04-25 03:48:08
2797	170	120	Middle	2015-04-25 03:48:08	2015-04-25 03:48:31	5	2015-04-25 03:48:31
2798	167	120	Middle	2015-04-25 03:48:31	2015-04-25 03:48:57	5	2015-04-25 03:48:57
2799	166	120	Left	2015-04-25 03:48:57	2015-04-25 03:49:21	5	2015-04-25 03:49:21
2800	163	120	Right	2015-04-25 03:49:21	2015-04-25 03:49:45	5	2015-04-25 03:49:45
2801	162	120	Left	2015-04-25 03:49:45	2015-04-25 03:50:10	5	2015-04-25 03:50:10
2802	176	120	Left	2015-04-25 03:50:11	2015-04-25 03:50:35	5	2015-04-25 03:50:35
2803	175	120	Middle	2015-04-25 03:50:35	2015-04-25 03:50:58	4	2015-04-25 03:50:58
2804	172	120	Middle	2015-04-25 03:50:58	2015-04-25 03:51:25	5	2015-04-25 03:51:25
2805	171	120	Left	2015-04-25 03:51:25	2015-04-25 03:51:47	5	2015-04-25 03:51:47
2806	178	120	Right	2015-04-25 03:51:47	2015-04-25 03:52:13	3	2015-04-25 03:52:13
2807	177	120	Right	2015-04-25 03:52:14	2015-04-25 03:52:42	4	2015-04-25 03:52:42
2808	174	120	Right	2015-04-25 03:52:42	2015-04-25 03:53:07	4	2015-04-25 03:53:07
2809	173	120	Left	2015-04-25 03:53:07	2015-04-25 03:53:31	4	2015-04-25 03:53:31
2810	179	120	Middle	2015-04-25 03:53:31	2015-04-25 03:53:58	4	2015-04-25 03:53:58
2811	180	120	Middle	2015-04-25 03:53:58	2015-04-25 03:54:20	4	2015-04-25 03:54:20
2812	487	120	 Peter Pan	2015-04-25 03:54:43	2015-04-25 03:55:11	3	2015-04-25 03:55:11
