id	experimental_condition	age	gender	created_at	updated_at	education	employment	status	token
1	control	21	M	2015-04-07 17:03:01	2015-04-07 17:03:01	Bachelor	Unemployed	0	VANGGYlIhyLePe1B
2	social	20	M	2015-04-07 17:18:41	2015-04-07 17:18:41	Primary education	Employed	3	nKVEDniSoirsVtq5
3	social	20	M	2015-04-07 17:19:31	2015-04-07 17:19:31	Primary education	Employed	3	FKtdJU96pQ4Kmt0F
4	control	100	M	2015-04-07 17:21:02	2015-04-07 17:21:02			4	vngxraajCu1gvmXG
5	control	20	M	2015-04-07 17:22:39	2015-04-07 17:22:39	Primary education	Employed	0	UxBH9KfjJc5sbQpk
6	control	20	M	2015-04-07 17:24:42	2015-04-07 17:24:42	Primary education	Employed	0	QFPGobOBy8TiA0GG
7	social	20	M	2015-04-07 17:37:22	2015-04-07 17:37:22	Primary education	Employed	3	nV64L9FDs8SVBFom
8	social	20	M	2015-04-07 17:39:38	2015-04-07 17:39:38	Bachelor	Unemployed	2	ABf4CwAZtgZw7Wis
9	social	12	M	2015-04-07 17:51:28	2015-04-07 17:51:28	Secondary education	Unemployed	2	8tCABvwcbVzjCABW
10	social	20	M	2015-04-07 17:57:53	2015-04-07 17:57:53	Bachelor	Unemployed	3	SXPaCRAC4je1rV4u
11	control	20	M	2015-04-07 18:02:23	2015-04-07 18:02:23	Primary education	Employed	3	qdyrar23y2G1RFXY
12	control	10	M	2015-04-07 18:14:16	2015-04-07 18:14:16	Primary education	Employed	3	vKjD9ZDrZ2AkhrYy
13	social	20	M	2015-04-07 18:39:56	2015-04-07 18:39:56	Secondary education	Unemployed	3	8CYsjhFwPRFncHV0
14	social	100	M	2015-04-07 18:40:22	2015-04-07 18:40:22	Secondary education	Employed	1	s5VS5sH181spi5vj
15	social	20	F	2015-04-07 18:41:05	2015-04-07 18:41:05	Bachelor	Unemployed	1	pg9gWIXo0DrTQFa8
16	control	19	M	2015-04-07 19:04:39	2015-04-07 19:04:39	Bachelor	Unemployed	0	SBUURtIer0Rs1pPx
17	control	21	M	2015-04-07 19:31:58	2015-04-07 19:31:58	Bachelor	Decline to say	0	hWHXUOZIet8RPI3o
18	control	52	M	2015-04-07 19:54:28	2015-04-07 19:54:28	Master	Employed	0	uJGOfV1cn5Pt7s81
19	control	23	M	2015-04-07 20:28:48	2015-04-07 20:28:48	Bachelor	Unemployed	0	tnapXhqs3wQ5RVFD
20	social	20	M	2015-04-07 20:51:33	2015-04-07 20:51:33	Bachelor	Unemployed	3	DVHb4oFpmNVo7JV8
21	control	20	M	2015-04-07 20:54:34	2015-04-07 20:54:34	Bachelor	Unemployed	0	9wW2z3auDl8N8TL8
22	social	22	M	2015-04-07 21:02:19	2015-04-07 21:02:19	Bachelor	Unemployed	4	wJYTxThEDdNVQuZ8
23	control	21	M	2015-04-07 21:23:45	2015-04-07 21:23:45	Secondary education	Unemployed	1	EKrjOkBwvPVEY9MP
24	social	21	M	2015-04-07 21:57:02	2015-04-07 21:57:02	Secondary education	Unemployed	2	9HY4k5XDfH9VGJYo
25	social	24	M	2015-04-07 22:11:19	2015-04-07 22:11:19	Doctoral	Employed	2	lz749iplYndFDkoY
26	control	21	M	2015-04-08 00:03:58	2015-04-08 00:03:58	Bachelor	Unemployed	0	pDf3AUCcJhihkjbB
27	control	19	M	2015-04-08 00:13:56	2015-04-08 00:13:56	Bachelor	Unemployed	0	zC8e2YsLfMxnmjpP
28	social	21	F	2015-04-08 00:40:34	2015-04-08 00:40:34	Bachelor	Unemployed	1	zfg5aoUnblJnpDVD
29	control	42	F	2015-04-08 01:52:52	2015-04-08 01:52:52	Master	Employed	2	xUN2GJeYYY4Ubuda
30	control	20	M	2015-04-08 03:05:21	2015-04-08 03:05:21	Bachelor	Unemployed	4	pgNpS5osZ5gHnRnn
31	control	22	M	2015-04-08 03:13:50	2015-04-08 03:13:50	Bachelor	Unemployed	2	O7QHMxX74Q6yOqME
32	control	21	M	2015-04-08 03:56:35	2015-04-08 03:56:35	Bachelor	Unemployed	3	qYovDjeTTdUwnZ0z
33	control	20	M	2015-04-08 04:25:54	2015-04-08 04:25:54	Bachelor	Decline to say	2	p5Xo3NBsI3fN1qY8
34	control	20	M	2015-04-08 06:08:45	2015-04-08 06:08:45	Bachelor	Unemployed	2	K0CMHHSz1pbJy3SU
35	control	21	M	2015-04-08 06:25:56	2015-04-08 06:25:56	Bachelor	Self Employed	0	h81sQhSplQyNtY45
36	social	25	M	2015-04-08 06:49:28	2015-04-08 06:49:28	Bachelor	Decline to say	1	848EUrL50ZFfCYxy
37	social	24	M	2015-04-08 07:56:05	2015-04-08 07:56:05	Bachelor	Self Employed	2	tGQibvB1dZx9afHa
38	control	20	F	2015-04-08 12:44:50	2015-04-08 12:44:50	Secondary education	Employed	0	jcFOOwiZUR1Gc7Ir
39	social	25	M	2015-04-08 16:01:27	2015-04-08 16:01:27	Master	Self Employed	2	q2FhR0Kpp5XZO82K
40	control	24	M	2015-04-08 17:03:14	2015-04-08 17:03:14	Bachelor	Employed	0	yFkT1YBM2BrBISK7
41	social	24	F	2015-04-09 06:13:48	2015-04-09 06:13:48	Master	Unemployed	1	LCVnq2aGExrK2pxC
42	control	10	M	2015-04-09 15:56:25	2015-04-09 15:56:25	Bachelor	Unemployed	0	6YYChZrRsNrCqWlc
43	social	21	M	2015-04-09 16:22:56	2015-04-09 16:22:56	Secondary education	Unemployed	1	Gsg73rMgedlHjBVt
44	control	37	M	2015-04-10 14:30:41	2015-04-10 14:30:41	Doctoral	Employed	2	fBqyzPLYaaa0rMML
45	social	21	M	2015-04-13 11:33:17	2015-04-13 11:33:17	Bachelor	Decline to say	4	QmCTQdl9zxCXxm7f
46	control	34	F	2015-04-14 01:02:15	2015-04-14 01:02:15	Primary education	Unemployed	4	V7Z4AWxRdBan1GJw
47	social	12	F	2015-04-14 01:02:24	2015-04-14 01:02:24	Master	Employed	2	o8gKq1UCGgunZWbT
48	control	20	M	2015-04-14 02:45:43	2015-04-14 02:45:43	Secondary education	Unemployed	1	DmxJuWJEjWpsSMzv
49	control	24	F	2015-04-14 02:54:42	2015-04-14 02:54:42	Master	Unemployed	0	TmavhD2gobVgbneU
50	social	20	M	2015-04-14 03:12:22	2015-04-14 03:12:22	Bachelor	Self Employed	4	8FqzBEgxtkrNYDYP
51	control	21	M	2015-04-14 05:08:07	2015-04-14 05:08:07	Bachelor	Decline to say	0	4uEGMOpf3g9FHZWO
52	social	20	M	2015-04-14 05:48:52	2015-04-14 05:48:52	Bachelor	Unemployed	2	zLwsZacNM6U9YHMt
53	social	20	M	2015-04-14 05:49:49	2015-04-14 05:49:49	Primary education	Employed	2	AqBrSebp3schZY3Z
54	social	20	M	2015-04-14 07:30:42	2015-04-14 07:30:42	Bachelor	Unemployed	2	7eGUJWE6hyyQadxn
55	control	18	F	2015-04-14 10:01:31	2015-04-14 10:01:31	Secondary education	Unemployed	4	clexVoBDXDqyWuXn
56	control	18	M	2015-04-14 10:29:13	2015-04-14 10:29:13	Master	Employed	0	a8ab4EGmSFo87VIc
57	control	21	M	2015-04-14 12:19:02	2015-04-14 12:19:02	Bachelor	Unemployed	3	b7GzfTquE97Yvebs
58	social	10	M	2015-04-14 12:26:29	2015-04-14 12:26:29	Bachelor	Unemployed	1	F2bnj3pNmbhLpVRI
59	social	24	M	2015-04-14 13:28:39	2015-04-14 13:28:39	Master	Unemployed	2	EzOcXuTaag9JPN1N
60	social	24	M	2015-04-14 18:45:59	2015-04-14 18:45:59	Master	Unemployed	3	srGfTQDYWixIVqdC
61	control	20	M	2015-04-15 07:09:33	2015-04-15 07:09:33	Bachelor	Decline to say	4	FZaTkkZmfKdAf4oL
62	social	20	M	2015-04-16 15:38:21	2015-04-16 15:38:21	Primary education	Employed	3	bgBGAxSka2gpyOmF
63	control	29	F	2015-04-16 15:52:24	2015-04-16 15:52:24	Master	Self Employed	1	rsStx0Qzr2rsy8Du
64	control	20	M	2015-04-16 18:39:55	2015-04-16 18:39:55	Secondary education	Unemployed	4	LdklkM1ZQPoEVkvM
65	control	20	M	2015-04-17 05:17:40	2015-04-17 05:17:40	Bachelor	Unemployed	2	ZaV3CGxw6WJkoVSv
66	control	21	M	2015-04-17 05:31:08	2015-04-17 05:31:08	Bachelor	Unemployed	4	WdRUkEgJhl44nLB1
67	control	20	M	2015-04-17 06:02:44	2015-04-17 06:02:44	Bachelor	Unemployed	0	0mtXoFis6IbRhpHb
68	control	20	M	2015-04-17 06:35:16	2015-04-17 06:35:16	B.Sc	unemployed	0	QAk2dH0Zs5jW5eC2
69	control	20	M	2015-04-17 06:35:43	2015-04-17 06:35:43	B.Sc	unemployed	1	rxYYRzrp0Ph6tStt
70	social	21	M	2015-04-17 07:15:26	2015-04-17 07:15:26	Secondary education	Unemployed	1	1OTcgsXZaCYXpFkW
71	social	21	M	2015-04-17 07:37:06	2015-04-17 07:37:06	Bachelor	Unemployed	3	TQbHRF6K6M8gR4WP
72	control	12	M	2015-04-17 07:40:01	2015-04-17 07:40:01	Bachelor	Self Employed	0	I3b0eUPx8R3oyTzc
73	social	25	M	2015-04-17 07:51:01	2015-04-17 07:51:01	Bachelor	Unemployed	3	sTvqiaLfDRTZAKYf
74	control	22	F	2015-04-17 11:14:19	2015-04-17 11:14:19	Master	Decline to say	4	XvgBrXBtdZxjiriA
75	control	25	M	2015-04-17 12:13:31	2015-04-17 12:13:31	Bachelor	Unemployed	1	wGeq7ygyseYP3hSY
