correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize
1942	Point Estimate	Image	casablanca.png	No	false
2002	Point Estimate	Image	city_of_god.png	No	false
2008	Point Estimate	Image	dark_knight.png	No	false
1981	Point Estimate	Image	das_boot.png	No	false
1988	Point Estimate	Image	die_hard.png	No	false
2000	Point Estimate	Image	gladiator.png	No	false
1972	Point Estimate	Image	godfather.png	No	false
2009	Point Estimate	Image	inglorious_basterds.png	No	false
1960	Point Estimate	Image	psycho.png	No	false
1994	Point Estimate	Image	pulp_fiction.png	No	false
1981	Point Estimate	Image	raiders_of_the_lost_ark.png	No	false
1985	Point Estimate	Image	ran.png	No	false
2000	Point Estimate	Image	snatch.png	No	false
1986	Point Estimate	Image	stand_by_me.png	No	false
1940	Point Estimate	Image	the_great_dictator.png	No	false
2012	Point Estimate	Image	the_hunt.png	No	false
1994	Point Estimate	Image	the_lion_king.png	No	false
1957	Point Estimate	Image	the_paths_of_glory.png	No	false
1994	Point Estimate	Image	the_shawshank_redemption.png	No	false
1992	Point Estimate	Image	unforgiven.png	No	false
