correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
300	point estimate	image	pisa.jpg	no answers	false
3	point estimate	image	The Shard.jpg	no answers	false
6	point estimate	image	StBasilCathedral.jpg	no answers	false
1	point estimate	image	EmpireStateBuilding.jpg	no answers	false
8	point estimate	image	Colosseum.jpg	no answers	false
22	point estimate	image	tajmahal.jpg	no answers	false
16	point estimate	image	SydneyOperaHouse.jpg	no answers	false
0.6	point estimate	image	Space Needle.jpg	no answers	false
6	point estimate	image	Burj Khalifa.jpg	no answers	false
3	point estimate	image	Sky Tower.jpg	no answers	false
17	point estimate	image	Teatro Amazonas.jpg	no answers	false
5	point estimate	image	Kuwait Towers.jpg	no answers	false
2	point estimate	image	Eiffel Tower.jpg	no answers	false
3	point estimate	image	El Capitolio.jpg	no answers	false
4	point estimate	image	Petronas Twin Towers.jpg	no answers	false
8	point estimate	image	Lloyds Building.jpg	no answers	false
2	point estimate	image	Chrysler Building.jpg	no answers	false
7	point estimate	image	HassanIIMosque.jpg	no answers	false
3	point estimate	image	Willis Tower.jpg	no answers	false
8	point estimate	image	whitehouse.jpg	no answers	false
