Team,Task1,Task2
20/20,2,16
Asmi,21,47
Aspiricom,12,30
Autobots,26,53
BITSG Powerhouse,39,21
Black Hat Hacker,12,27
Black hat hackers,35,10
BusyBees,7,41
CarpeDiem,8,19
CodeManiacs,3,11
Code_crackers,51,14
Computer Ultron,53,5
DEKAS,13,44
Deep Coders,18,52
Deep_Learners,4,48
Drishyam,9,39
Elites,20,22
HerdOfNerds,14,17
Invictus,48,18
LabRats,42,5
Lakshya,49,7
LivingtoExplore,13,15
Orion's_Belt,2,43
PES,22,41
PiXYZ,19,40
ProTropy,15,31
Research SHAPs,40,38
Segment,23,24
Soderbergs,37,47
Team Aspiricom,16,50
Team Optimus,54,51
Tech-Pushers,26,25
Technopreneurs,46,49
The BITSians,17,3
The Bayesian Conspiracy,37,54
The Visionaries,25,44
TheAnsweringMachine,8,6
Traceback,24,42
Ultron,52,45
VOID,29,27
VORTEX,9,33
Visionaries,33,28
Visionastra,11,6
XLII,28,23
c0r3,43,36
co(de)signers,32,30
professionalone,46,10
shn_vitcc,4,34
vit_shn,31,20
zealous newbies,50,45
,,
