Technopreneurs,46,49,29,44,23,51,53,13,7,42
BusyBees,7,9,41,2,42,37,39,44,5,25
20/20,2,42,5,16,15,33,19,4,13,23
LabRats,42,5,13,9,33,22,41,36,16,53
Elites,5,22,20,44,25,24,32,41,18,42
HerdOfNerds,14,17,21,22,34,2,3,4,46,49
CodeManiacs,2,3,11,13,16,21,10,43,19,21
DEKAS,13,44,32,33,30,9,5,53,24,41
Visionaries,33,28,40,29,30,41,32,11,39,37
Asmi,21,9,47,36,28,31,48,41,54,24
Traceback,24,42,29,28,23,9,10,33,41,25
Blitz,5,47,29,37,18,25,39,41,24,33
Black hat hackers,35,10,13,19,22,25,26,32,34,36
Segment,23,24,8,9,10,5,15,39,19,29
XLII,28,24,23,13,5,7,36,37,42,53
Drishyam,9,39,41,10,38,8,42,51,22,49
Orion's_Belt,2,43,53,33,18,22,6,9,11,39
BITSG Powerhouse,39,21,2,29,24,32,28,8,40,51
Visionastra,11,5,6,12,10,31,8,7,32,53
co(de)signers,32,21,30,9,38,27,8,40,20,47
VORTEX,9,33,34,73,28,7,94,2,26,21
PiXYZ,19,40,24,47,4,31,29,12,45,21
