correct answer	answr type	asset_type	asset_file	possible answer	randomize answer
9000000000	point estimate	image	Andromeda Galaxy.jpg	no answer	FALSE
10500000000	point estimate	image	Black Eye Galaxy.jpg	no answer	FALSE
10000000000	point estimate	image	Cartwheel Galaxy.jpg	no answer	FALSE
10300000000	point estimate	image	Cigar Galaxy.jpg	no answer	FALSE
4500000000	point estimate	image	Earth.jpg	no answer	FALSE
10000000000	point estimate	image	Kaptyen star.jpg	no answer	FALSE
10300000000	point estimate	image	Large Magellanic Cloud.jpg	no answer	FALSE
4500000000	point estimate	image	Mars.jpg	no answer	FALSE
200000000	point estimate	image	Sirius.jpg	no answer	FALSE
4850000000	point estimate	image	Proxima Centauri.jpg	no answer	FALSE
4500000000	point estimate	image	Neptune.jpg	no answer	FALSE
11000000000	point estimate	image	Small Magellanic Cloud Galaxy 1600.jpg	no answer	FALSE
10100000000	point estimate	image	Triangulum Galaxy.jpg	no answer	FALSE
10100000000	point estimate	image	Whirpool Galaxy.jpg	no answer	FALSE
4500000000	point estimate	image	Uranus.jpg	no answer	FALSE
10000000000	point estimate	image	The Sombrero Galaxy.jpg	no answer	FALSE
4570000000	point estimate	image	Sun.jpg	no answer	FALSE
70000	point estimate	image	Scholzs-Star.jpg	no answer	FALSE
13200000000	point estimate	image	Milky Way Galaxy.jpg	no answer	FALSE
4500000000	point estimate	image	Mercury.jpg	no answer	FALSE
