correct_answer	answer_type	asset_type	asset	possible_answers	randomize_answers
24-03-2016	point estimate	text	asset1.txt	no answers	FALSE
16-03-2016	point estimate	text	asset2.txt	no answers	FALSE
21-05-2016	point estimate	text	asset3.txt	no answers	FALSE
30-10-2016	point estimate	text	asset4.txt	no answers	FALSE
11-10-2016	point estimate	text	asset5.txt	no answers	FALSE
05-09-2016	point estimate	text	asset6.txt	no answers	FALSE
06-11-2016	point estimate	text	asset7.txt	no answers	FALSE
07-03-2016	point estimate	text	asset8.txt	no answers	FALSE
18-08-2016	point estimate	text	asset9.txt	no answers	FALSE
25-08-2016	point estimate	text	asset10.txt	no answers	FALSE
19-10-2016	point estimate	text	asset11.txt	no answers	FALSE
07-07-2016	point estimate	text	asset12.txt	no answers	FALSE
25-12-2016	point estimate	text	asset13.txt	no answers	FALSE
02-10-2016	point estimate	text	asset14.txt	no answers	FALSE
01-07-2016	point estimate	text	asset15.txt	no answers	FALSE
20-06-2016	point estimate	text	asset16.txt	no answers	FALSE
01-10-2016	point estimate	text	asset17.txt	no answers	FALSE
09-04-2016	point estimate	text	asset18.txt	no answers	FALSE
14-01-2016	point estimate	text	asset19.txt	no answers	FALSE
26-03-2016	point estimate	text	asset20.txt	no answers	FALSE
