correct_answer	answer_type	asset_type	asset	possible_answers	randomize_answers
24-Mar	point estimate	text	asset1.txt	NO ANSWER	FALSE
01-May	point estimate	text	asset2.txt	NO ANSWER	FALSE
26-05-2040	point estimate	text	asset3.txt	NO ANSWER	FALSE
10-11-2034	point estimate	text	asset4.txt	NO ANSWER	FALSE
25-03-2024	point estimate	text	asset5.txt	NO ANSWER	FALSE
13-10-2043	point estimate	text	asset6.txt	NO ANSWER	FALSE
20-11-2050	point estimate	text	asset7.txt	NO ANSWER	FALSE
22-02-2047	point estimate	text	asset8.txt	NO ANSWER	FALSE
23-08-2029	point estimate	text	asset9.txt	NO ANSWER	FALSE
09-08-2031	point estimate	text	asset10.txt	NO ANSWER	FALSE
04-11-2020	point estimate	text	asset11.txt	NO ANSWER	FALSE
07-07-2016	point estimate	text	asset12.txt	NO ANSWER	FALSE
29-03-2021	point estimate	text	asset13.txt	NO ANSWER	FALSE
01-11-2024	point estimate	text	asset14.txt	NO ANSWER	FALSE
28-09-2047	point estimate	text	asset15.txt	NO ANSWER	FALSE
14-10-2032	point estimate	text	asset16.txt	NO ANSWER	FALSE
18-10-2039	point estimate	text	asset17.txt	NO ANSWER	FALSE
27-10-2044	point estimate	text	asset18.txt	NO ANSWER	FALSE
22-08-2020	point estimate	text	asset19.txt	NO ANSWER	FALSE
07-03-2016	point estimate	text	asset20.txt	NO ANSWER	FALSE
