correct_answer	answer_type	asset_type	asset	possible_answers	randomize_answers	question
10-10-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Colombus Day.
18-01-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Martin Luther King Day.	
24-11-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Thanksgiving Day.
05-09-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Labour Day.
10-03-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Zhonghe Festival.
08-02-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Chinese New Year.
11-01-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Coming of Age Day.
09-06-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Dragon Boat Festival.
01-08-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Kadooment Day.
21-04-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Tiradentes Day.
28-03-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Easter Monday.
04-03-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Ascencion Day.
18-07-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Nelson Mandela Day.
11-10-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Yom Kippur.
31-05-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Day of Castile-La Mancha.
30-11-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's St. Andrews Day.
12-12-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Muhammad's Birthday.
16-05-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Whit Sunday.
25-12-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Christmas.
24-03-2016	date	no assets	no assets	no answers	false	estimate the date for 2016's Holi.
