Magazine	Issue	Headline	
The Guardian	06/2013	"Edward Snowden : the whistleblower behind the NSA surveillance revelations"
The Guardian	02/2011	'Charlie Sheen v Muammar Gaddafi: whose line is it anyway?'
The Guardian	10/2011	'iPhone 4S launch: as it happened'
The Guardian	08/2012	'No, Samsung did not try to pay Apple its $1bn fine in nickels'
The Guardian	02/2014	'Optic Nerve: millions of Yahoo webcam images intercepted by GCHQ'
The Guardian	11/2010	'US embassy cables leak sparks global diplomatic crisis'
The Guardian	02/2014	'Rainbow Google doodle links to Olympic charter as Sochi kicks off'
The Guardian	04/2011	'Osama bin Laden corpse photo is fake'
The Guardian	07/2013	'Microsoft handed the NSA access to encrypted messages'
The Guardian	05/2011	'Stephen Hawking: There is no heaven; it's a fairy story'
The Economist	04/2014	Can anyone stop Narendra Modi?
The Economist	07/2014	The tragedy of the Arabs
The Economist	01/2014	Coming to an office near you
The Economist	04/2014	Is college worth it? 	
The Economist	08/2013	Get a life! Facebook is bad for you
The Economist	02/2013	The hits keep coming A comet headed for Mars
The Economist	09/2012	'Could Asia really go to war over these? China and Japan'
The Economist	04/2012	The rather dangerous M. Hollande 
The Economist	04/2012	The third industrial revolution Manufacturing	
The Economist	06/2011	The man who screwed an entire country
The Economist	04/2011	What's wrong with America's economy?
The Economist	08/2011	'Time for a double dip -America's economy'	 
WIRED	12/1996	Mother Earth Mother Board	 
WIRED	04/2000	Why the future doesn't need us	 
WIRED	04/2010	'Art of the Steal: On the Trail of World's most ingenious thief'	 
WIRED	06/1995	The curse of Xanadu	 
WIRED	03/2008	High Tech Cowboys of the Deep Seas: The Race to save the Cougar Ace	 
WIRED	11/2009	The Answer Factory: Demand Media and the Fast, Disposable, and Profitable as Hell Media Model	 
WIRED	10/2010	How Elon Musk turned Tesla into the car company of the future	 
WIRED	09/2009	Gone Forever: What does it really take to disappear?	 
WIRED	01/2010	In the Next Industrial Revolution, Atoms Are the New Bits	 
WIRED	03/2008	How Apple Got Everything Right By Doing Everything Wrong	 

