correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
1	binary	text	1.txt	No answers	NA
1	binary	text	2.txt	No answers	NA
1	binary	text	3.txt	No answers	NA
0	binary	text	4.txt	No answers	NA
1	binary	text	5.txt	No answers	NA
0	binary	text	6.txt	No answers	NA
1	binary	text	7.txt	No answers	NA
1	binary	text	8.txt	No answers	NA
0	binary	text	9.txt	No answers	NA
1	binary	text	10.txt	No answers	NA
0	binary	text	11.txt	No answers	NA
0	binary	text	12.txt	No answers	NA
1	binary	text	13.txt	No answers	NA
0	binary	text	14.txt	No answers	NA
1	binary	text	15.txt	No answers	NA
0	binary	text	16.txt	No answers	NA
1	binary	text	17.txt	No answers	NA
0	binary	text	18.txt	No answers	NA
1	binary	text	19.txt	No answers	NA
1	binary	text	20.txt	No answers	NA
