correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
Spam	Spam or not spam	None	From: "Lucia Hoffman" <ymisanthrope@dataquestsystems.com>  To: "the00" <the00@plg.uwaterloo.ca>  Subject: her calumet which candlelit  Body:  This one is hardly promoted!  Lookup: CDYV, Current: $0.089 (5 Day Target price: $0.425!), Expected: Steadily climb for the top!  WATCH IT LIKE A HAWK..  See the hottest news of the CDYV, the00, call your broker..	No answers	NA
Spam	Spam or not spam	None	From: Real Loss <fibond@terra.com.do> To: theorize@plg.uwaterloo.ca Subject: Losing Weight Quickly Body: HoodiaLife - Start Losing Weight Now! is a natural substance that literally takes your appetite away! http://rosewikthpecial.com"Learn more and buy HoodiaLife!  	No answers	NA
Spam	Spam or not spam	None	From: Bill Hewitt <sexybug@gileschemical.com> To: Ktwarwic <ktwarwic@speedy.uwaterloo.ca> Subject: FDA approved on-line pharmacies Body:  FDA approved on-line pharmacies.click here Chose your product and site below:  Canadian pharmacy - Cialis Soft Tabs - $5.78, Viagra Professional - $4.07, Viagra Soft Tabs - $4.1, Cialis - $5.67, Generic Viagra - $3.5, Soma - $1.38, Human Growth Hormone - $43.37, Meridia - $3.32, Tramadol - $2.17, Levitra - $11.97.  HerbalKing - Herbal pills for Penis enlargement. Techniques, procedures, videos and tutorials. Don't waste your money on ineffective and possibly dangerous pumps, exercises and surgeries.  Anatrim - Are you ready for Summer? Use Anatrim, the most powerful fat loss blend available anywhere. Safe, fast, effective! 	No answers	NA
Not Spam	Spam or not spam	None	From: "Mark Wardle" <mark@wardle.org> To: "jim holtman" <jholtman@gmail.com> Subject: Re: [R] Aggregation of data frame with calculations of proportions Body: Dear Jim,  On 26/06/07, jim holtman <jholtman@gmail.com> wrote:  I think something like this will do it for you.   set.seed(1)  n <- 10  x <- data.frame(a=sample(1:100,n),  b=sample(1:100,n),d=sample(1:100,n))  x$a[c(1,5)] <- NA  x$b[c(7,6,4)] <- NA  x$d[c(5,8)] <- NA  x$total <- rowSums(x, na.rm=TRUE)  x$type <- sample(1:3, n, replace=TRUE)  by(x, list(x$type), function(z){      apply(z[,1:3], 2, calc.prevalence, total=z$total)  }) 	No answers	NA
Spam	Spam or not spam	None	From: "Roxie Hart" <fnkvernal@Safemail.net> To: "theorize" <theorize@plg.uwaterloo.ca> Subject: I quiver myself basidiomycetes Body:  This gem is really movable..  Target sym: CDYVPrice (current): $0.07 5 Day Target price: $0.425Action: = Strong Buy/Hold!!  500% profit guaranted... See bullish news online right now, theorize, call broker!!	No answers	NA
Not Spam	Spam or not spam	None	From: Simon Wood <s.wood@bath.ac.uk> To: r-help@stat.math.ethz.ch Subject: Re: [R] Relative GCV - poisson and negbin GAMs (mgcv)  Body:Sorry for the tardy reply - got filtered to the wrong place...  > I am using gam in mgcv (1.3-22) and trying to use gcv to help with model > selection.  However, I'm a little confused by the process of assessing GCV > scores based on their magnitude (or on relative changes in magnitude). > > Differences in GCV scores often seem "obvious" with my poisson gams but > with negative binomial, the decision seems less clear. - This is not well  documented - sorry. The negative binomial is a special case for mgcv::gam (see ?gam.neg.bin). To handle the extra parameter of the negative binomial, smoothing parameter estimation *has* to be performed via `performance iteration' (see ?gam.method), which is not the default for any other family. Within the IRLS loop of the performance iteration an extra step is inserted which estimates the negative binomial parameter at each iteration, in order to try and achieve a scale parameter estimate of 1 (see ?gam.neg.bin). However, trying to force the estimated scale parameter to 1 will also force the GCV score used in performance iteration to be close to 1 (at least for large samples), whatever model is fitted.... so comparison of GCV scores between different neg.bin models is unlikely to be very informative. In addition small changes in GCV score are not meaningful when comparing different models fitted by performance iteration, for any family (again see details section of ?gam.method). I think that AIC() would provide a better basis for comparing alternative neg.bin GAMs: it's even more approximate than usual when used in this context, since the neg.bin parameter estimate is definitely not an MLE, but it will still give a much more meaningful guide than comparison of GCV scores, in this case.  For other families none of these problems occur provided the default direct (`outer') smoothness selection method is used. 	No answers	NA
Spam	Spam or not spam	None	From: Groupe Desjardins / AccesD <services.de.cartes@scd.desjardins.com> To: smiles@speedy.uwaterloo.ca Subject: Avis Important et Personnel Body:Desjardins tient à vous signaler que votre dernière transaction n'a pas été automatiquement enregistré dû à un nombre elevé de transaction simultanée. Le département de vérification comptable du Groupe Desjardins à corriger le problème dans les comptes concernés. Si toutefois vous notez une différence, nous vous prions de nous en aviser. Si vous constatez une autre erreur, communiquez avec votre institution durant les heures de http://www.desjardins.com/fr/votre_caisse/index.jsp votre caisse 	No answers	NA
Spam	Spam or not spam	None	From: "Xavier Comer" <uwedeanville@LEGISI.com> To: "theorize" <theorize@plg.uwaterloo.ca> Subject: With till borup Body: Take adventage!!    S.umbol: BVYHCurrent price: $4.70 5 Day Target price: = $7.95Recommendation: very aggresive buy!!!   TRADE SMART AND WIN WITH US..   BVYH has a nice fresh news, theorize, contact your broker!... 	No answers	NA
Not Spam	Spam or not spam	None	From: "CBS SportsLine.com"<cbssportsline@sportsline.cbs-communications.com> To: ktwarwic@flax9.uwaterloo.ca Subject: CBS SportsLine Daily Sports Report Body: </a></td>     <td>&nbsp;<img src="http://images.sportsline.com/images/home/gn_divider.gif" width="2" height="18" border="0" alt="" hspace="0" vspace="0" align="middle">&nbsp;</td>     <td><a style="font-size:11px;color:#525252;font-weight:bold;text-decoration:none" href="http://sportsline.cbs-communications.com/cgi-bin4/DM/y/hBAZ50LpHeh0S5s0E5Yu0GV"><font face="Arial,sans-serif">MLB</font></a></td>     <td>&nbsp;<img src="http://images.sportsline.com/images/home/gn_divider.gif" width="2" height="18" border="0" alt="" hspace="0" vspace="0" align="middle">&nbsp;</td>     <td><a style="font-size:11px;color:#525252;font-weight:bold;text-decoration:none" href="http://sportsline.cbs-communications.com/cgi-bin4/DM/y/hBAZ50LpHeh0S5s0FDOn0GU"><font face="Arial,sans-serif">NHL</font></a></td>	No answers	NA
Spam                                                                                                                                                               	Spam or not spam	None	From: OnlineStudentFinancialAid <OnlineStudentFinancialAid@accesssenderworld.com> To: producttestpanel@speedy.uwaterloo.ca Subject: Need money for college? Body: you need money for school? Do you want to jumpstart your                     career with a college degree? Getting financial aid for your                     online education has never been easier!                     http://accesssenderworld.com/x/MjUxODM5NDk5|MjkwNDI1|cHJvZHVjdHRlc3RwYW5lbEBzcGVlZHkudXdhdGVybG9vLmNh|MTI5MTYz|Ng==|NDAzNg==|NjI2NQ==|NzcwMQ==.html" target=_blank  OnlineStudentFinancialAid.com is                     your resource for finding online colleges offering financial                     aid. We make it easy to research the leading online colleges,                     and find the perfect program that meets your needs with just                     a few clicks.	No answers	NA
