correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
Spam	Spam or not spam	Text	1.txt	No answers	NA
Spam	Spam or not spam	Text	2.txt	No answers	NA
Spam	Spam or not spam	Text	3.txt	No answers	NA
Not Spam	Spam or not spam	Text	4.txt	No answers	NA
Spam	Spam or not spam	Text	5.txt	No answers	NA
Not Spam	Spam or not spam	Text	6.txt	No answers	NA
Spam	Spam or not spam	Text	7.txt	No answers	NA
Spam	Spam or not spam	Text	8.txt	No answers	NA
Not Spam	Spam or not spam	Text	9.txt	No answers	NA
Spam                                                                                                                                                               	Spam or not spam	Text	10.txt	No answers	NA
Not Spam	Spam or not spam	Text	11.txt	No answers	NA
Not Spam	Spam or not spam	Text	12.txt	No answers	NA
Spam	Spam or not spam	Text	13.txt	No answers	NA
Not Spam	Spam or not spam	Text	14.txt	No answers	NA
Spam	Spam or not spam	Text	15.txt	No answers	NA
Not Spam	Spam or not spam	Text	16.txt	No answers	NA
Spam	Spam or not spam	Text	17.txt	No answers	NA
Not Spam	Spam or not spam	Text	18.txt	No answers	NA
Spam	Spam or not spam	Text	19.txt	No answers	NA
Spam	Spam or not spam	Text	20.txt	No answers	NA
