correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	question
Avicii	multiple choice	audio	Song01.mp3	"Avicii, Jason Derulo, Charli XCX, Tove Lo, Calvin Harris"	TRUE	Which artist/band interpreted this song?
Lady Antebellum	multiple choice	audio	Song02.mp3	"Lady Antebellum, Charli XCX, Imagine Dragons, Drake, Sam Smith, Beyonce"	TRUE	Which artist/band interpreted this song?
American Authors	multiple choice	audio	Song03.mp3	"American Authors, Lee Brice, Miley Cyrus, Wiz Khalifa, Juicy J"	TRUE	Which artist/band interpreted this song?
Beyonce	multiple choice	audio	Song04.mp3	"Beyonce, Jessie J, Ariana Grande, Nicki Minaj, Bobby Shmurda"	TRUE	Which artist/band interpreted this song?
Imagine Dragons	multiple choice	audio	Song05.mp3	"Imagine Dragons, Zedd featuring Hayley Williams, Sam Smith, Avicii, Lorde, "	TRUE	Which artist/band interpreted this song?
Florida	multiple choice	audio	Song06.mp3	"Florida, Miley Cyrus, Jason Derulo, Michael Jackson, Justin Timberlake"	TRUE	Which artist/band interpreted this song?
Dierks Bentley	multiple choice	audio	Song07.mp3	"Dierks Bentley, DJ Snake and Lil Jon, Lorde, Jake Owen, Imagine Dragons"	TRUE	Which artist/band interpreted this song?
Lee Brice	multiple choice	audio	Song08.mp3	"Lee Brice, One Direction, KONGOS, OneRepublic, Drake featuring Majid Jordan"	TRUE	Which artist/band interpreted this song?
Jason Derulo	multiple choice	audio	Song09.mp3	"Jason Derulo, Imagine Dragons, Nico & Vinz, Eminem featuring Rihanna, OneRepublic"	TRUE	Which artist/band interpreted this song?
Katy Perry	multiple choice	audio	Song10.mp3	"Katy Perry, Sam Smith, Nico & Vinz, Iggy Azalea featuring Charli XCX, Sia"	TRUE	Which artist/band interpreted this song?
Kid Ink	multiple choice	audio	Song11.mp3	"Kid Ink, Passenger, Brantley Gilbert, Robin Thicke, John Legend"	TRUE	Which artist/band interpreted this song?
Lil Wayne	multiple choice	audio	Song12.mp3	"Lil Wayne, Bastille, Taylor Swift, Coldplay, Idina Menzel"	TRUE	Which artist/band interpreted this song?
Aloe Blacc	multiple choice	audio	Song13.mp3	"Aloe Blacc, Sia, Rixton, 5 Seconds of Summer, Lorde"	TRUE	Which artist/band interpreted this song?
Naughty Boy	multiple choice	audio	Song14.mp3	"Naughty Boy, Kid Ink featuring Chris Brown, Taylor Swift, 5 Seconds of Summer, John Legend"	TRUE	Which artist/band interpreted this song?
One Direction	multiple choice	audio	Song15.mp3	"One Direction, Maroon 5, Trey Songz, Aloe Blacc, Brantley Gilbert"	TRUE	Which artist/band interpreted this song?
One Republic	multiple choice	audio	Song16.mp3	"One Republic, Lorde, MAGIC!, Jason Aldean, T.I. featuring Iggy Azalea"	TRUE	Which artist/band interpreted this song?
Pharell Williams	multiple choice	audio	Song17.mp3	"Pharell Williams, Drake, Imagine Dragons, Naughty Boy featuring Sam Smith, Paramore"	TRUE	Which artist/band interpreted this song?
Bastille	multiple choice	audio	Song18.mp3	"Bastille, Jake Owen, Avicii, Lil Wayne featuring Drake, One Direction"	TRUE	Which artist/band interpreted this song?
Trey Songz	multiple choice	audio	Song19.mp3	"Trey Songz, Nico & Vinz, Sara Bareilles, Avicii, Pitbull"	TRUE	Which artist/band interpreted this song?
Calvin Harris	multiple choice	audio	Song20.mp3	"Calvin Harris, Kenny Chesney, KONGOS, MAGIC!, Becky G"	TRUE	Which artist/band interpreted this song?
