correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers question
1929	point estimate	tsv	question1.txt	no answers	false	estimate the year of publication for the follwing book:
1962	point estimate	tsv	question2.txt	no answers	false	estimate the year of publication for the follwing book:
1903	point estimate	tsv	question3.txt	no answers	false	estimate the year of publication for the follwing book:
1919	point estimate	tsv	question4.txt	no answers	false	estimate the year of publication for the follwing book:
1929	point estimate	tsv	question5.txt	no answers	false	estimate the year of publication for the follwing book:
1908	point estimate	tsv	question6.txt	no answers	false	estimate the year of publication for the follwing book:
1953	point estimate	tsv	question7.txt	no answers	false	estimate the year of publication for the follwing book:
1920	point estimate	tsv	question8.txt	no answers	false	estimate the year of publication for the follwing book:
1925	point estimate	tsv	question9.txt	no answers	false	estimate the year of publication for the follwing book:
1913	point estimate	tsv	question10.txt	no answers	false	estimate the year of publication for the follwing book:
1920	point estimate	tsv	question11.txt	no answers	false	estimate the year of publication for the follwing book:
1954	point estimate	tsv	question12.txt	no answers	false	estimate the year of publication for the follwing book:
1922	point estimate	tsv	question13.txt	no answers	false	estimate the year of publication for the follwing book:
1957	point estimate	tsv	question14.txt	no answers	false	estimate the year of publication for the follwing book:
1930	point estimate	tsv	question15.txt	no answers	false	estimate the year of publication for the follwing book:
1981	point estimate	tsv	question16.txt	no answers	false	estimate the year of publication for the follwing book:
1916	point estimate	tsv	question17.txt	no answers	false	estimate the year of publication for the follwing book:
1902	point estimate	tsv	question18.txt	no answers	false	estimate the year of publication for the follwing book:
1924	point estimate	tsv	question19.txt	no answers	false	estimate the year of publication for the follwing book:
1931	point estimate	tsv	question20.txt	no answers	false	estimate the year of publication for the follwing book:
