correct_answer	answer_type	asset_type	asset_file	possible_answer	randomize_answers	
Unsuccessful	multiple choice	image	604f8987-1b79-4bcb-bf06-a429a448f595.jpg	Successful, Unsuccessful	false
Unsuccessful	multiple choice	image	1c127188-a9f1-4245-91d7-d76b9dbd3e12.jpg	Successful, Unsuccessful	false
Successful	multiple choice	image	0d3ac91d-ae5c-4a92-9905-e0c1a6b9c462.jpg	Successful, Unsuccessful	false
Successful	multiple choice	image	f21ee7bf-ce31-4bae-b4a2-3ddbe70c8170.jpg	Successful, Unsuccessful	false
Unsuccessful	multiple choice	image	f066dbc8-4d3c-4488-bc7a-0bf8c2745f03.jpg	Successful, Unsuccessful	false
Successful	multiple choice	image	37dc5aa8-e6c4-4ba1-b382-0ca94f1754c9.jpg	Successful, Unsuccessful	false
Successful	multiple choice	image	114fd85f-a5c2-41c4-89e6-169393198036.jpg	Successful, Unsuccessful	false
Unsuccessful	multiple choice	image	f19cafeb-b581-4030-b7b0-bec4e42d9d7b.jpg	Successful, Unsuccessful	false
Unsuccessful	multiple choice	image	a8e36115-0931-40ab-a0b4-36f9745948ac.jpg	Successful, Unsuccessful	false
Successful	multiple choice	image	20020130-df81-4a0f-be1c-18d19410a773.jpg	Successful, Unsuccessful	false
Successful	multiple choice	image	eb449ead-4ba3-464c-bdbb-68cc0e93cdee.jpg	Successful, Unsuccessful	false
Unsuccessful	multiple choice	image	f67fa930-0597-4173-8801-eb429392261d.jpg	Successful, Unsuccessful	false
Unsuccessful	multiple choice	image	2820f12e-17d2-45ff-b2b2-6138991b7de5.jpg	Successful, Unsuccessful	false
Successful	multiple choice	image	4652817f-19d6-48e5-943e-939a85d1a728.jpg	Successful, Unsuccessful	false
Unsuccessful	multiple choice	image	ec4c51ac-018d-417a-82e2-4033fb9775fa.jpg	Successful, Unsuccessful	false
Successful	multiple choice	image	4dc9ea67-0249-46ca-8322-c619ee17b08d.jpg	Successful, Unsuccessful	false
Unsuccessful	multiple choice	image	2c322772-d646-409a-892c-dcd8f5b7cb9c.jpg	Successful, Unsuccessful	false
Successful	multiple choice	image	33c803d6-7e77-4e85-bfcc-378679c1f866.jpg	Successful, Unsuccessful	false
Successful	multiple choice	image	850ed782-4438-45ef-ba24-76e2928a687e.jpg	Successful, Unsuccessful	false
Unsuccessful	multiple choice	image	885f2065-ddd9-4234-a213-46e8cfc3d1bb.jpg	Successful, Unsuccessful	false
