correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
"55.631111,35.279722"	point estimate	text	Question1.txt	no answers	false
"1.7666667,31.4333333"	point estimate	text	Question2.txt	no answers	false
"54.5,127.133333"	point estimate	text	Question3.txt	no answers	false
"30.5,96.5"	point estimate	text	Question4.txt	no answers	false
"6.7432,121.953"	point estimate	text	Question5.txt	no answers	false
"60.283333,18.35"	point estimate	text	Question6.txt	no answers	false
"25.904722,102.086111"	point estimate	text	Question7.txt	no answers	false
"38.8,21.45"	point estimate	text	Question8.txt 	no answers	false
"41.205833,43.134167"	point estimate	text	Question9.txt 	no answers	false
"41.833333,117.016667"	point estimate	text	Question10.txt 	no answers	false
"25.801667,117.089167"	point estimate	text	Question11.txt 	no answers	false
"44.5925,20.296389"	point estimate	text	Question12.txt 	no answers	false
"2.7826,102.1655"	point estimate	text	Question13.txt 	no answers	false
"49.983818,26.274653"	point estimate	text	Question14.txt 	no answers	false
"-7.874167,110.106111"	point estimate	text	Question15.txt 	no answers	false
"3.210212,-68.220538"	point estimate	text	Question16.txt 	no answers	false
"3.613611,-76.1225"	point estimate	text	Question17.txt 	no answers	false
"39.114311,-9.342645"	point estimate	text	Question18.txt 	no answers	false
"41.919742,122.631806"	point estimate	text	Question19.txt 	no answers	false
"44.576944,22.963333"	point estimate	text	Question20.txt 	no answers	false
