Correct answer	Answer Type	Asset Type	Asset File	Possible answers	Randomize answers
1.9      Point Estimate		Image	1_9.jpg		no answers	FALSE
3.8		Point Estimate		Image	3_8.jpg		no answers	FALSE
3.8		Point Estimate		Image	3_78.jpg	no answers	FALSE
13.2	Point Estimate		Image	13_2.jpg	no answers	FALSE
0.06	Point Estimate		Image	60ml.jpg	no answers	FALSE
0.12	Point Estimate		Image	120.jpg		no answers	FALSE
0.12	Point Estimate		Image	120a.jpg	no answers	FALSE
0.21	Point Estimate		Image	210m.jpg	no answers	FALSE
0.24	Point Estimate		Image	240.jpg		no answers	FALSE
0.24	Point Estimate		Image	240a.jpg	no answers	FALSE
0.24	Point Estimate		Image	250B.jpg	no answers	FALSE
0.25	Point Estimate		Image	250b.png	no answers	FALSE
0.25	Point Estimate		Image	250m.jpg	no answers	FALSE
0.25	Point Estimate		Image	250ml.jpg	no answers	FALSE
0.48	Point Estimate		Image	480.jpg		no answers	FALSE
0.48	Point Estimate		Image	480b.jpg	no answers	FALSE
0.5		Point Estimate		Image	500ma.jpg	no answers	FALSE
0.5		Point Estimate		Image	500mB.jpg	no answers	FALSE
0.5		Point Estimate		Image	500ml.jpg	no answers	FALSE
0.95	Point Estimate		Image	950ml		no answers	FALSE
