correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	question
39928947	point estimate	no assets	no assets	no answers	FALSE	What is the population of Algeria?
142467651	point estimate	no assets	no assets	no answers	FALSE	What is the population of Russia?
16606878	point estimate	no assets	no assets	no answers	FALSE	What is the population of Kazakhstan?
1267401849	point estimate	no assets	no assets	no answers	FALSE	What is the population of India?
1393783836	point estimate	no assets	no assets	no answers	FALSE	What is the population of China?
322583006	point estimate	no assets	no assets	no answers	FALSE	What is the population of United States of America?
78470222	point estimate	no assets	no assets	no answers	FALSE	What is the population of Iran?
17772871	point estimate	no assets	no assets	no answers	FALSE	What is the population of Chile?
123799215	point estimate	no assets	no assets	no answers	FALSE	What is the population of Mexico?
29369428	point estimate	no assets	no assets	no answers	FALSE	What is the population of Saudi Arabia?
15859714	point estimate	no assets	no assets	no answers	FALSE	What is the population of Guatemala?
41803125	point estimate	no assets	no assets	no answers	FALSE	What is the population of Argentina?
11128404	point estimate	no assets	no assets	no answers	FALSE	What is the population of Greece?
35524732	point estimate	no assets	no assets	no answers	FALSE	What is the population of Canada?
23630169	point estimate	no assets	no assets	no answers	FALSE	What is the population of Australia?
202033670	point estimate	no assets	no assets	no answers	FALSE	What is the population of Brazil?
50757459	point estimate	no assets	no assets	no answers	FALSE	What is the population of Tanzania?
252812245	point estimate	no assets	no assets	no answers	FALSE	What is the population of Indonesia?
96506031	point estimate	no assets	no assets	no answers	FALSE	What is the population of Ethiopia?
48929706	point estimate	no assets	no assets	no answers	FALSE	What is the population of Colombia?
