correct_answer	answer_type	asset_type	asset	possible_answers	randomize_answers	question
Happy	multiple choice	image	asset0.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Angry	multiple choice	image	asset1.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Surprise	multiple choice	image	asset2.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Angry	multiple choice	image	asset3.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Distress	multiple choice	image	asset4.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Sad	multiple choice	image	asset5.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Surprise	multiple choice	image	asset6.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Sad	multiple choice	image	asset7.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Surprise	multiple choice	image	asset8.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Happy	multiple choice	image	asset9.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Distress	multiple choice	image	asset10.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Angry	multiple choice	image	asset11.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Distress	multiple choice	image	asset12.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Sad	multiple choice	image	asset13.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Surprise	multiple choice	image	asset14.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Happy	multiple choice	image	asset15.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Angry	multiple choice	image	asset16.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Distress	multiple choice	image	asset17.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Happy	multiple choice	image	asset18.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
Sad	multiple choice	image	asset19.jpg	Angry , Distress , Happy , Sad , Surprise	false	select the human emotion portrayed in the image.
