Correct Answer		Answer Type		Asset Type		Asset File				Possible Answers		Randomize	
													
1942		Numeric		Image		rsz_1casablanca.png				No		FALSE	
2002		Numeric		Image		rsz_1city_of_god.png				No		FALSE	
2008		Numeric		Image		rsz_dark_knight.png				No		FALSE	
1981		Numeric		Image		rsz_das_boot.png				No		FALSE	
1988		Numeric		Image		rsz_die_hard.png				No		FALSE	
2000		Numeric		Image		rsz_gladiator.png				No		FALSE	
1972		Numeric		Image		rsz_godfather.png				No		FALSE	
2009		Numeric		Image		rsz_inglorious_basterds.png			No		FALSE	
1960		Numeric		Image		rsz_psycho.png					No		FALSE	
1994		Numeric		Image		rsz_pulp_fiction.png				No		FALSE	
1981		Numeric		Image		rsz_raiders_of_the_lost_ark.png			No		FALSE	
1985		Numeric		Image		rsz_ran.png					No		FALSE	
2000		Numeric		Image		rsz_snatch.png					No		FALSE	
1986		Numeric		Image		rsz_stand_by_me.png				No		FALSE	
1940		Numeric		Image		rsz_the_great_dictator.png			No		FALSE	
2012		Numeric		Image		rsz_the_hunt.png				No		FALSE	
1994		Numeric		Image		rsz_the_lion_king.png				No		FALSE	
1957		Numeric		Image		rsz_the_paths_of_glory.png			No		FALSE	
1994		Numeric		Image		rsz_the_shawshank_redemption.png		No		FALSE	
1992		Numeric		Image		rsz_unforgiven.png				No		FALSE	
