Correct Answer	Answer Type	Asset Type	Asset File	Possible Answers	Randomize														
1942	Point Estimate	Image	casablanca.png	No	FALSE
2002	Point Estimate	Image	city_of_god.png	No	FALSE
2008	Point Estimate	Image	dark_knight.png	No	FALSE
1981	Point Estimate	Image	das_boot.png	No	FALSE
1988	Point Estimate	Image	die_hard.png	No	FALSE
2000	Point Estimate	Image	gladiator.png	No	FALSE
1972	Point Estimate	Image	godfather.png	No	FALSE
2009	Point Estimate	Image	inglorious_basterds.png	No	FALSE
1960	Point Estimate	Image	psycho.png	No	FALSE
1994	Point Estimate	Image	pulp_fiction.png	No	FALSE
1981	Point Estimate	Image	raiders_of_the_lost_ark.png	No	FALSE
1985	Point Estimate	Image	ran.png	No	FALSE
2000	Point Estimate	Image	snatch.png	No	FALSE
1986	Point Estimate	Image	stand_by_me.png	No	FALSE
1940	Point Estimate	Image	the_great_dictator.png	No	FALSE
2012	Point Estimate	Image	the_hunt.png	No	FALSE
1994	Point Estimate	Image	the_lion_king.png	No	FALSE
1957	Point Estimate	Image	the_paths_of_glory.png	No	FALSE
1994	Point Estimate	Image	the_shawshank_redemption.png	No	FALSE
1992	Point Estimate	Image	unforgiven.png	No	FALSE
