correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	extra_information
724123	point estimate	image	Asset1.png	none	false	Info1.txt
662422	point estimate	image	Asset2.png	none	false	Info2.txt
662945	point estimate	image	Asset3.png	none	false	Info3.txt
907724	point estimate	image	Asset4.png	none	false	Info4.txt
415621	point estimate	image	Asset5.png	none	false	Info5.txt
2636835	point estimate	image	Asset6.png	none	false	Info6.txt
271653	point estimate	image	Asset7.png	none	false	Info7.txt
37500	point estimate	image	Asset8.png	none	false	Info8.txt
8587496	point estimate	image	Asset9.png	none	false	Info9.txt
1485094	point estimate    	image	Asset10.png	 none	false	Info10.txt
13194459	point estimate	image	Asset11.png	none	false	Info11.txt
11658805	point estimate	image	Asset12.png	none	false	Info12.txt
47606325	point estimate	image	Asset13.png	none	false	Info13.txt
333354	point estimate	image	Asset14.png	none	false	Info14.txt
663325	point estimate	image	Asset15.png	none	false	Info15.txt
497888	point estimate	image	Asset16.png	none	false	Info16.txt
6284014	point estimate	image	Asset17.png	none	false	Info17.txt
1505000	point estimate	image	Asset18.png	none	false	Info18.txt
2225000	point estimate	image	Asset19.png	none	false	Info19.txt
749000	point estimate	image	Asset20.png	none	false	Info20.txt
