correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	extra_information
724123	point estimate	image	Asset1.png	no answers	false	Asset1.tsv
662422	point estimate	image	Asset2.png	no answers	false	Asset2.tsv
662945	point estimate	image	Asset3.png	no answers	false	Asset3.tsv
907724	point estimate	image	Asset4.png	no answers	false	Asset4.tsv
415621	point estimate	image	Asset5.png	no answers	false	Asset5.tsv
2636835	point estimate	image	Asset6.png	no answers	false	Asset6.tsv
271653	point estimate	image	Asset7.png	no answers	false	Asset7.tsv
37500	point estimate	image	Asset8.png	no answers	false	Asset8.tsv
8587496	point estimate	image	Asset9.png	no answers	false	Asset9.tsv
1485094	point estimate    	image	Asset10.png	no answers	false	Asset10.tsv
13194459	point estimate	image	Asset11.png	no answers	false	Asset11.tsv
11658805	point estimate	image	Asset12.png	no answers	false	Asset12.tsv
47606325	point estimate	image	Asset13.png	no answers	false	Asset13.tsv
333354	point estimate	image	Asset14.png	no answers	false	Asset14.tsv
663325	point estimate	image	Asset15.png	no answers	false	Asset15.tsv
497888	point estimate	image	Asset16.png	no answers	false	Asset16.tsv
6284014	point estimate	image	Asset17.png	no answers	false	Asset17.tsv
1505000	point estimate	image	Asset18.png	no answers	false	Asset18.tsv
2225000	point estimate	image	Asset19.png	no answers	false	Asset19.tsv
749000	point estimate	image	Asset20.png	no answers	false	Asset20.tsv
