correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
3643	point estimate	image	tree_age_abuelo.jpg	no answers	FALSE
1433	point estimate	image	tree_age_arbol.jpg	no answers	FALSE
5000	point estimate	image	tree_age_banyantree.jpg	no answers	FALSE
2302	point estimate	image	tree_age_bodhi.jpg	no answers	FALSE
2000	point estimate	image	tree_age_fortingall.jpg	no answers	FALSE
1700	point estimate	image	tree_age_granit.jpg	no answers	FALSE
1270	point estimate	image	tree_age_henrykow.jpg	no answers	FALSE
4000	point estimate	image	tree_age_horses.jpg	no answers	FALSE
2000	point estimate	image	tree_age_houki.jpg	no answers	FALSE
1500	point estimate	image	tree_age_juniper.jpg	no answers	FALSE
4000	point estimate	image	tree_age_llangrerntw.jpg	no answers	FALSE
4846	point estimate	image	tree_age_methuselah.jpg	no answers	FALSE
4844	point estimate	image	tree_age_prometheus.jpg	no answers	FALSE
4000	point estimate	image	tree_age_sarveabarkuh.jpg	no answers	FALSE
1500	point estimate	image	tree_age_sisteroak.jpg	no answers	FALSE
3000	point estimate	image	tree_age_sozzastro.jpg	no answers	FALSE
2000	point estimate	image	tree_age_staramaslina.jpg	no answers	FALSE
1500	point estimate	image	tree_age_stelmuze.jpg	no answers	FALSE
9550	point estimate	image	tree_age_tjikko.jpg	no answers	FALSE
4000	point estimate	image	tree_age_zoroastrian.jpg	no answers	FALSE
					
