task,question,correct_answer,mc_1,mc_2,mc_3,mc_4
1, Kenya †††††††††††††††††,Nairobi,Hargeisa,Marigot,Port-aux-Francais,Brasilia
2, Papua New Guinea ††††††,Port Moresby,The Valley,Tirana,Hargeisa,Kabul
3, Russia,Moscow,King Edward Point,Andorra la Vella,Yamoussoukro,Zagreb
4, Ethiopia ††††††††††††††,Addis Ababa,N'Djamena,Tehran,Port-aux-Fran√ßais,King Edward Point
5, Romania †††††††††††††††,Bucharest,Gibraltar,King Edward Point,Hargeisa,Copenhagen
6, Bosnia and Herzegovina,Sarajevo,King Edward Point,Jerusalem,Hamilton,Kabul
7, Denmark †††††††††††††††,Copenhagen,Hargeisa,King Edward Point,Buenos Aires,Vienna
8, North Korea †††††††††††,Pyongyang,King Edward Point,Hargeisa,Andorra la Vella,Kingston
9, Italy ††††††††††††††††,Rome,Hargeisa,The Valley,Port-aux-Francais,Havana
10, Indonesia †††††††††††††,Jakarta,Yaren,Lilongwe,West Island,Jerusalem
11, Uganda ††††††††††††††††,Kampala,Praia,King Edward Point,Brussels,Hargeisa
12, Belarus ††††††††††††††,Minsk,Thimphu,Hargeisa,Santiago,El-Aaian
13, Pakistan †††††††††††††,Islamabad,Tirana,Riyadh,Jerusalem,Hargeisa
14, Vietnam †††††††††††††††,Hanoi,The Valley,King Edward Point,Ottawa,El-Aaian
15, Cameroon †††††††††††††,Yaounde,King Edward Point,Hargeisa,Thimphu,San Jose
16, Philippines †††††††††††,Manila,Kuala Lumpur,Santiago,Muscat,Ottawa
17, Spain †††††††††††††††††,Madrid,Saint John's,Sofia,Port-aux-Francais,Nassau
18, Ghana ††††††††††††††††,Accra,Hargeisa,Kabul,Yaounde,Manama
19, Bangladesh †††††††††††,Dhaka,Port-aux-Francais,Hargeisa,Mariehamn,Yangon
20, Angola ††††††††††††,Luanda,Atafu,Hamilton,Algiers,Jerusalem
